EXCHANGE%3DNYSE,,,,,,
MARKET_OPEN_MINUTE=570,,,,,,
MARKET_CLOSE_MINUTE=960,,,,,,
INTERVAL=60,,,,,,
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,
DATA=,,,,,,
TIMEZONE_OFFSET=-300,,,,,,
a1513002600,51.45,51.45,51.45,51.45,3254,12/11/17 9:30
2,51.2565,51.45,51.2565,51.45,1100,12/11/17 9:32
3,51.35,51.35,51.3,51.3,1083,12/11/17 9:33
4,51.4,51.4,51.35,51.35,800,12/11/17 9:34
6,51.4885,51.4885,51.4885,51.4885,100,12/11/17 9:36
10,51.5424,51.5424,51.5424,51.5424,300,12/11/17 9:40
11,51.55,51.55,51.55,51.55,200,12/11/17 9:41
12,51.7,51.7,51.6,51.6,1000,12/11/17 9:42
13,51.691,51.691,51.691,51.691,500,12/11/17 9:43
14,51.6,51.6,51.6,51.6,500,12/11/17 9:44
15,51.75,51.75,51.6474,51.6474,390,12/11/17 9:45
16,51.9725,52.15,51.75,51.75,2830,12/11/17 9:46
18,51.925,52,51.85,52,1200,12/11/17 9:48
19,51.9563,51.9563,51.9563,51.9563,115,12/11/17 9:49
21,52,52,52,52,300,12/11/17 9:51
22,52.01,52.01,52,52,1300,12/11/17 9:52
26,52,52,52,52,100,12/11/17 9:56
28,51.95,51.95,51.95,51.95,200,12/11/17 9:58
29,52,52,52,52,200,12/11/17 9:59
30,52.1,52.1,52.1,52.1,100,12/11/17 10:00
31,51.9,52.05,51.85,52.05,1598,12/11/17 10:01
33,51.85,51.85,51.85,51.85,400,12/11/17 10:03
36,51.7,51.7,51.65,51.65,300,12/11/17 10:06
37,51.8,51.8,51.8,51.8,100,12/11/17 10:07
38,51.65,51.65,51.65,51.65,100,12/11/17 10:08
39,51.725,51.725,51.65,51.65,200,12/11/17 10:09
40,51.8,51.8,51.8,51.8,300,12/11/17 10:10
41,51.8,51.8,51.8,51.8,100,12/11/17 10:11
42,51.8,51.9,51.8,51.8,929,12/11/17 10:12
43,51.95,51.95,51.95,51.95,100,12/11/17 10:13
45,52.05,52.05,52.05,52.05,200,12/11/17 10:15
46,51.95,52.05,51.95,52,2270,12/11/17 10:16
47,52,52,52,52,100,12/11/17 10:17
48,51.95,51.95,51.95,51.95,100,12/11/17 10:18
51,51.95,51.95,51.9,51.9,200,12/11/17 10:21
52,51.85,51.85,51.85,51.85,300,12/11/17 10:22
53,51.9,51.9,51.85,51.85,500,12/11/17 10:23
55,51.95,51.95,51.95,51.95,300,12/11/17 10:25
57,52.0067,52.0067,52,52,573,12/11/17 10:27
58,52.05,52.05,52.05,52.05,300,12/11/17 10:28
60,52,52,52,52,200,12/11/17 10:30
63,52,52,52,52,100,12/11/17 10:33
64,51.975,52,51.95,52,396,12/11/17 10:34
65,52,52,51.95,51.95,200,12/11/17 10:35
66,52.05,52.1,52.05,52.05,4014,12/11/17 10:36
68,52.15,52.15,52.0982,52.0982,900,12/11/17 10:38
69,52.1,52.1,52.1,52.1,1600,12/11/17 10:39
70,52.225,52.225,52.1,52.15,2063,12/11/17 10:40
71,52.2188,52.2188,52.2,52.2,800,12/11/17 10:41
73,52.15,52.2,52.1,52.2,2802,12/11/17 10:43
75,52.2,52.205,52.2,52.2,2200,12/11/17 10:45
77,52.2,52.2,52.2,52.2,100,12/11/17 10:47
79,52.175,52.175,52.175,52.175,100,12/11/17 10:49
83,52.2,52.2,52.15,52.15,490,12/11/17 10:53
87,52.1,52.1983,52.1,52.1983,634,12/11/17 10:57
89,52.1,52.1,52.05,52.1,596,12/11/17 10:59
91,51.95,51.95,51.95,51.95,497,12/11/17 11:01
92,52,52,52,52,300,12/11/17 11:02
94,52.05,52.05,52.05,52.05,100,12/11/17 11:04
95,52,52,52,52,100,12/11/17 11:05
96,52,52,52,52,100,12/11/17 11:06
97,52,52,52,52,714,12/11/17 11:07
99,52.031,52.05,52.025,52.025,800,12/11/17 11:09
100,52.05,52.05,52.05,52.05,200,12/11/17 11:10
103,52.0329,52.0329,52.0329,52.0329,263,12/11/17 11:13
107,52.05,52.05,52.025,52.05,500,12/11/17 11:17
109,52.05,52.05,52.05,52.05,300,12/11/17 11:19
111,52.15,52.15,52.1,52.1,400,12/11/17 11:21
112,52.2,52.2,52.2,52.2,100,12/11/17 11:22
113,52.15,52.15,52.15,52.15,100,12/11/17 11:23
115,52.15,52.15,52.15,52.15,444,12/11/17 11:25
116,52.15,52.15,52.15,52.15,100,12/11/17 11:26
117,52.2,52.2,52.15,52.15,400,12/11/17 11:27
121,52.2,52.2,52.2,52.2,100,12/11/17 11:31
122,52.142,52.2,52.142,52.2,203,12/11/17 11:32
123,52.1,52.2,52.1,52.2,400,12/11/17 11:33
124,52.1,52.15,52.1,52.15,311,12/11/17 11:34
125,52.15,52.15,52.15,52.15,300,12/11/17 11:35
126,52.125,52.15,52.125,52.15,200,12/11/17 11:36
127,52.15,52.15,52.15,52.15,100,12/11/17 11:37
128,52.15,52.15,52.1357,52.15,300,12/11/17 11:38
131,52.15,52.15,52.15,52.15,300,12/11/17 11:41
132,52.1,52.1,52.1,52.1,1106,12/11/17 11:42
134,52.15,52.15,52.15,52.15,360,12/11/17 11:44
137,52.125,52.15,52.125,52.125,300,12/11/17 11:47
138,52.1,52.1,52.1,52.1,497,12/11/17 11:48
140,52.1,52.1,52.1,52.1,200,12/11/17 11:50
142,52.075,52.075,52.05,52.05,600,12/11/17 11:52
144,52.05,52.05,52.05,52.05,100,12/11/17 11:54
146,52.025,52.025,52.025,52.025,381,12/11/17 11:56
147,52.05,52.05,52.05,52.05,800,12/11/17 11:57
148,52.05,52.05,52.05,52.05,638,12/11/17 11:58
149,52.2,52.2,52.1,52.1,500,12/11/17 11:59
150,52.15,52.15,52.15,52.15,150,12/11/17 12:00
152,52.15,52.2,52.15,52.2,200,12/11/17 12:02
153,52.2,52.2,52.15,52.15,400,12/11/17 12:03
154,52.2185,52.2185,52.2185,52.2185,100,12/11/17 12:04
155,52.2312,52.2312,52.2312,52.2312,1400,12/11/17 12:05
156,52.25,52.25,52.25,52.25,100,12/11/17 12:06
157,52.25,52.25,52.25,52.25,100,12/11/17 12:07
158,52.2237,52.2237,52.2237,52.2237,115,12/11/17 12:08
159,52.25,52.25,52.2379,52.2379,967,12/11/17 12:09
161,52.25,52.25,52.25,52.25,900,12/11/17 12:11
162,52.35,52.35,52.25,52.25,2940,12/11/17 12:12
163,52.3,52.35,52.3,52.35,200,12/11/17 12:13
