text,created_at

Me ha gustado un vídeo de @YouTube (https://t.co/ll8EdpyDNO - We Trained To Shoot Guns Like John Wick).,Mon Dec 11 20:30:10 +0000 2017

"RT @rtg0nzalez: Concealed weapons are legal in Nevada, but most Vegas resorts don't allow guests to carry guns. How do you scan mil… ",Mon Dec 11 20:30:10 +0000 2017

RT @realDonaldTrump: LAST thing the Make America Great Again Agenda needs is a Liberal Democrat in Senate where we have so little margin… ,Mon Dec 11 20:30:11 +0000 2017

"RT @mrskmax: 2 weeks after a neo Nazi rally, Kimberly Jones ( #KeatonJones mom) posted pics of her and others including Keaton h… ",Mon Dec 11 20:30:10 +0000 2017

"RT @friendlyqueer: @KhadiDon his mom on her way to buy more guns and confederate flags after scamming Twitter out of $50,000 https://t.co/i…",Mon Dec 11 20:30:12 +0000 2017

"""State Cites “Public Health” As Massive Gun Co ..."" https://t.co/EhlfknIThW #Ammo #Ammunition #Boston… https://t.co/0tiTlRerOj",Mon Dec 11 20:30:12 +0000 2017

Canada Guns Laws Not What I Expected  #2A https://t.co/UEeZbqHjr1,Mon Dec 11 20:30:13 +0000 2017

"RT @friendlyqueer: @KhadiDon his mom on her way to buy more guns and confederate flags after scamming Twitter out of $50,000 https://t.co/i…",Mon Dec 11 20:30:15 +0000 2017

At least now they got money for more flags and guns. Maybe they’ll buy a shirt or 2. https://t.co/J8BJAMeCVz,Mon Dec 11 20:30:14 +0000 2017

"RT @pacelattin: If more guns are the solution to mass shootings, why isn't more muslims the solution to terrorism?",Mon Dec 11 20:30:15 +0000 2017

"""State Cites “Public Health” As Massive Gun Col ..."" https://t.co/Ar1RIXWAGn #Ammo #Ammunition #Boston… https://t.co/eRdamTUrHR",Mon Dec 11 20:30:15 +0000 2017

@turboman311 @Voices4Humanity @realDonaldTrump Go thru these explains all about it. https://t.co/YuJYYUJKW7,Mon Dec 11 20:30:15 +0000 2017

Seecamp Firearms: About as Small as it Gets! SHOT Show 2017  #2A https://t.co/NT7Crzq1Tx,Mon Dec 11 20:30:17 +0000 2017

"""State Cites “Public Health” As Massive Gun Col ..."" https://t.co/zw6042U6Fo #Ammo #Ammunition #Boston… https://t.co/vl4iQ7Jvwl",Mon Dec 11 20:30:17 +0000 2017

RT @dbongino: The stupid is spreading. https://t.co/qaGOob9ISx,Mon Dec 11 20:30:20 +0000 2017

@teamtrace More people die from driving accidents each day than guns.,Mon Dec 11 20:30:23 +0000 2017

#NowPlaying Catcher In The Rye by Guns N' Roses ♫ https://t.co/63GhxbYY0U,Mon Dec 11 20:30:25 +0000 2017

"RT @Hoosiers1986: #SundayMorning

DEMS think they have the MORAL HIGH GROUND because they'd have the people of ALABAMA vote on Tuesda… ",Mon Dec 11 20:30:25 +0000 2017

RT @TheRock: Thank you man. @gunsnroses was the only way to go with our theme song. Plus it’s my top 10 all time workout songs s… ,Mon Dec 11 20:30:28 +0000 2017

"RT @___perez94: The famous SARS officer YOMI have spoken.

Is this the kind of men Nigerian government gave guns to, to protect inn… ",Mon Dec 11 20:30:29 +0000 2017

"@sarah_jwh @outofmyplanet ""Guns and God"" is a big one and those ... are two of our most powerful capitalist structures so.",Mon Dec 11 20:30:30 +0000 2017

RT @dbongino: The stupid is spreading. https://t.co/qaGOob9ISx,Mon Dec 11 20:30:30 +0000 2017

Sviđa mi se videozapis https://t.co/ycR098DDW7 Salvaging The Hero (Extreme Knife Repairing) + New Arrow Guns s usluge @YouTube,Mon Dec 11 20:30:31 +0000 2017

RT @lyricsandnature: Guns N' Roses // November Rain  https://t.co/fF4WICvUnG,Mon Dec 11 20:30:31 +0000 2017

RT @Bimbos2018: Guns and plastic. #BustyBabyDoll 😍 #BigBoobs #BiggerIsBetter #Erotism #TetasGrandes #HugeTits #BigTits @huge_titz https://t…,Mon Dec 11 20:30:32 +0000 2017

"RT @redsteeze: Want to talk about guns, Chris? https://t.co/0frOckcJ35",Mon Dec 11 20:30:33 +0000 2017

RT @dbongino: The stupid is spreading. https://t.co/qaGOob9ISx,Mon Dec 11 20:30:35 +0000 2017

Designer guns just like my designer shoes,Mon Dec 11 20:30:36 +0000 2017

Glocks are the AK47 of hand guns,Mon Dec 11 20:30:39 +0000 2017

"RT @BradThor: Step 1) Ban guns 
Step 2) Ban opposition parties https://t.co/EEDegCPBF4",Mon Dec 11 20:30:39 +0000 2017

"RT @BradThor: Step 1) Ban guns 
Step 2) Ban opposition parties https://t.co/EEDegCPBF4",Mon Dec 11 20:30:39 +0000 2017

RT @JannaWilkinso69: My GRANNY was RAPED as a TEEN and my MOM WAS BORN😃 My MOM was RAPED as a TEEN and I WAS BORN😃DON'T TALK to ME ABOUT… ,Mon Dec 11 20:30:42 +0000 2017

RT @Bimbos2018: Guns and plastic. #BustyBabyDoll 😍 #BigBoobs #BiggerIsBetter #Erotism #TetasGrandes #HugeTits #BigTits @huge_titz https://t…,Mon Dec 11 20:30:42 +0000 2017

