text,created_at

These UCSF medical residents don't want guns or Tasers in hospitals https://t.co/jJiJNGPLea,Tue Dec 12 20:30:08 +0000 2017

"RT @RubyRockstar333: This is what Chelsea Handler stands for: 
2 abortions at the age of 16, Pee 'fun' at the lake, Hug-a-thons w/ Ted L… ",Tue Dec 12 20:30:10 +0000 2017

RT @crzyuncletrump: HEY @JEFFSESSIONS remember this? https://t.co/lTDPTCERnS,Tue Dec 12 20:30:11 +0000 2017

"@wishinforrain Architects 
Parkway Drive 
Breakdown of Sanity 
Fit for a king
In Hearts Wake 
Gideon 
Our hollow ou… https://t.co/JrZATox5oM",Tue Dec 12 20:30:12 +0000 2017

"RT @DLoesch: Literally none of this is true, neither supported by federal law nor the actual text of the bill, but hey, agenda. https://t.c…",Tue Dec 12 20:30:14 +0000 2017

Are they going to do something about angry white men with guns at country music festivals?,Tue Dec 12 20:30:16 +0000 2017

Seecamp Firearms: About as Small as it Gets! SHOT Show 2017  #tactical https://t.co/oc1KB2yG8c,Tue Dec 12 20:30:19 +0000 2017

There is a possible life changing court case ongoing with implications for your members but you only want to retwee… https://t.co/T2dbqmQMfA,Tue Dec 12 20:30:19 +0000 2017

Oprah Winfrey is even better than guns!!!,Tue Dec 12 20:30:19 +0000 2017

@GarethDeanPR @roswell2001 @Pardilho23 @chuckwoolery Not true.assault rifles as you call them.semi auto rifles.actu… https://t.co/tFqecw4XKo,Tue Dec 12 20:30:19 +0000 2017

UB40 - Tell Me Is It True - Guns in the Ghetto -1997 - Lyrics https://t.co/ZzPArMCkn9,Tue Dec 12 20:30:21 +0000 2017

"I don’t really give a shit about his whole situation, but this claim of Keaton using racial slurs is based entirely… https://t.co/vaCvVp7XS7",Tue Dec 12 20:30:21 +0000 2017

RT @ThwaitesBrewery: Give yourself the chance to win a case of 13 Guns when you RT and follow! Terms apply. Competition ends on Friday. htt…,Tue Dec 12 20:30:22 +0000 2017

Canada Guns Laws Not What I Expected  #tactical https://t.co/vY7yb4SBho,Tue Dec 12 20:30:22 +0000 2017

"RT @Hidori_Rose: How do you like my guns... Shock, and Awe! https://t.co/kRingsTuSW",Tue Dec 12 20:30:23 +0000 2017

"When the second amendment was written, pistols could only kill 6 people max. Now, we got semiautomatic machine guns… https://t.co/Pd0ODJojWw",Tue Dec 12 20:30:24 +0000 2017

"Guns Bread and Butter🥈
https://t.co/gcQrheCHpG
🍽🔫💢🎶🔰🔪🍞🦋🎶💢🍮🍽
#instagramdown #GoogleActívateTalk
#GenoaAtalanta… https://t.co/ZA4zs0SkXT",Tue Dec 12 20:30:24 +0000 2017

RT @zackfox: y'all gave keaton 60K like he won't spend it on guns and trench coats,Tue Dec 12 20:30:25 +0000 2017

RT @zackfox: y'all gave keaton 60K like he won't spend it on guns and trench coats,Tue Dec 12 20:30:26 +0000 2017

GO #Alabama Roy Moore #AlabamaSenate #SenateElection #Montgomery #MontgomeryAL #RoyMoore strong on #2ndAmendment &amp;… https://t.co/EHHYQ5pwSX,Tue Dec 12 20:30:26 +0000 2017

RT @SMPLiND: Keaton finna spend that 60K ya'll gave him on guns and trench coats. 😂😂😂 https://t.co/4Sg5moBRrw,Tue Dec 12 20:30:29 +0000 2017

"RT @DLoesch: Literally none of this is true, neither supported by federal law nor the actual text of the bill, but hey, agenda. https://t.c…",Tue Dec 12 20:30:29 +0000 2017

"RT @ColMorrisDavis: Skynyrd also said:

Hand guns are made for killin'
They ain't no good for nothin' else
And if you like to drink you… ",Tue Dec 12 20:30:30 +0000 2017

"RT @_Makada_: Dear Alabama,

If you want lower taxes, strong borders, 2nd amendment, and more freedom, vote for Judge Roy Moore.… ",Tue Dec 12 20:30:30 +0000 2017

Gostei de um vídeo @YouTube https://t.co/IPJ5uFDA8r - When PRO PLAYERS use NOOB GUNS 2!!,Tue Dec 12 20:30:31 +0000 2017

RT @AbkaFitzHenley: Associates of Hudson adamant that she did not leave airport in Fortlauderdale Florida when she departed Jamaica en… ,Tue Dec 12 20:30:31 +0000 2017

"RT @indietraducao: guns for hands - twenty one pilots

eu tento dormi mas tem uns maluco me apontando arma o que e isto",Tue Dec 12 20:30:33 +0000 2017

Top 5 best selling guns in every category for May 2014 https://t.co/0tgnMrTzfq,Tue Dec 12 20:30:34 +0000 2017

"RT @janedmunds: @VP @RepHartzler And what exactly are the ""Values"" you are supporting?  Your party and your administration support… ",Tue Dec 12 20:30:36 +0000 2017

"Trophies, tantrums and typos: https://t.co/sMlswGc3zn - oh and interviews with Brady, Young, Petrovic, Smith, Davis… https://t.co/KyA3SF6Me6",Tue Dec 12 20:30:39 +0000 2017

"(hammock comments on ""A Las Vegas Resort Using Microwaves to Keep Guns Out"") - https://t.co/SZePjmvY5D",Tue Dec 12 20:30:40 +0000 2017

JONES to Alabama voters. Plus: I’ll bring in more illegals to take your tax   $$$ so they’ll have better things for… https://t.co/HdlEgX4RZh,Tue Dec 12 20:30:40 +0000 2017

"""He wore a blazing saddle. Has guns to light the way."" ""He came riddin into town a wompin and a stompin""… https://t.co/52GSXGlh7r",Tue Dec 12 20:30:43 +0000 2017

RT @SMPLiND: Keaton finna spend that 60K ya'll gave him on guns and trench coats. 😂😂😂 https://t.co/4Sg5moBRrw,Tue Dec 12 20:30:43 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:30:45 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:30:45 +0000 2017

RT @ThwaitesBrewery: Give yourself the chance to win a case of 13 Guns when you RT and follow! Terms apply. Competition ends on Friday. htt…,Tue Dec 12 20:30:46 +0000 2017

@IngrahamAngle US born citizens with guns kill more in one day than anyone who has come to the US by visa; not only… https://t.co/gAmELKoEml,Tue Dec 12 20:30:52 +0000 2017

"Guns Bread and Butter🥈
https://t.co/AFY7QQ9ugD
🍽🔫💢🎶🔰🔪🍞🦋🎶💢🍮🍽
#instagramdown #GoogleActívateTalk
#GenoaAtalanta… https://t.co/nYfzwqsUDk",Tue Dec 12 20:30:52 +0000 2017

Roy Moore arrives at polling place by propelling himself forward by shooting his little guns behind him. Pew! Pew! Pew!,Tue Dec 12 20:30:54 +0000 2017

"RT @Hoosiers1986: Dear Alabama,

Please vote for me and I promise that I will gladly kill your unborn babies, take your guns &amp; fight… ",Tue Dec 12 20:30:55 +0000 2017

Bitcoin (Bust Out the Big Guns. Literally.)  https://t.co/91TWZybBuR  $BTC,Tue Dec 12 20:30:56 +0000 2017

"RT @DBallsbuddy: ""I don’t like guns, I’d throw roses around"" 
-HARRY STYLES",Tue Dec 12 20:31:00 +0000 2017

"RT @Patrick_Fitten: The woman to whom the barrels of guns were addressed, who is also said to be a former employee of a PNP Councillor… ",Tue Dec 12 20:31:03 +0000 2017

