text,created_at

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:30:06 +0000 2017

RT @StockMonsterVIP: And take their guns away ...See how much they like Doug Jones   &amp; Democrats when we loose the right to bare arms!,Wed Dec 13 20:30:09 +0000 2017

"RT @teamtrace: Building a gun without a serial number is legal, as long as it's intended for personal use and not sold. While ther… ",Wed Dec 13 20:30:10 +0000 2017

RT @ParamedicVis: “Girt said Hamilton police have studied the issue and determined paramedics are best suited to deal with fentanyl.… ,Wed Dec 13 20:30:11 +0000 2017

@Lrihendry https://t.co/oP2KonlWgA,Wed Dec 13 20:30:12 +0000 2017

"RT @StockMonsterVIP: WOW !! OMG at the BBQ !!!

Trey Gowdy Guns A Blazing !! Does he ever make Deputy Rosenstein and Mueller look like t… ",Wed Dec 13 20:30:13 +0000 2017

"RT @iMovieTimeLinks: فيلم الكوميديا الفرنسي
Father and guns 2 2017
اب وابنه شرطيان وهم على وشك ان يعملان معًا كفريق من اجل تنفيذ مهمة صع… ",Wed Dec 13 20:30:14 +0000 2017

@onekade I'm just wary of this stuff bc when I was out covering Ferguson.. You'd have the National Guard drawing gu… https://t.co/ow6BsBwKx1,Wed Dec 13 20:30:15 +0000 2017

RT @Snowprah: If u flex guns on the internet to look cool and u really not bout that shit. Please suck a dick. Y’all some herbs.,Wed Dec 13 20:30:16 +0000 2017

@lissa77 @TexnHolden @DLoesch It’s funny. My wife was in support of AU buyback type promotion. I own guns. She has… https://t.co/PVLM3SViOU,Wed Dec 13 20:30:19 +0000 2017

RT @ThwaitesBrewery: Want to win a case of 13 Guns? RT and follow for the chance! Terms apply. Competition ends on Friday. https://t.co/iGK…,Wed Dec 13 20:30:20 +0000 2017

@LindaSuhler https://t.co/oP2KonlWgA,Wed Dec 13 20:30:21 +0000 2017

"If you're against net neutrality because it's derived from outdated legislation, you better never have an opinion on guns.",Wed Dec 13 20:30:21 +0000 2017

Unicorn Guns: KAC Snap On Suppressor Beretta  #tactical https://t.co/lJnD5G12tb,Wed Dec 13 20:30:21 +0000 2017

"RT @StockMonsterVIP: Alabama wants to be a blue state so badly then perhaps it’s time they give up their guns !!

#Moore #Bannon
#DougJones…",Wed Dec 13 20:30:24 +0000 2017

Gov. Cuomo proposes legislation to remove firearms from those who commit domestic violence crimes.… https://t.co/UxOLm4QV6g,Wed Dec 13 20:30:24 +0000 2017

@_OnlineGospel_ @LappinGraham @phyzayo @TakeThatDarwin @jandrew62956555 @Contragamer911 @TheOath @questions_faith… https://t.co/fjJhx1OZbi,Wed Dec 13 20:30:24 +0000 2017

